,pet,owner,type,dob
1, Fluffy, Michael Scott, cat, 5/20/2019 
2, Spots McGoo  , Jan  Levinson , dog, 12/1/2015 
3, Speedy   , Ryan Howard , turtle , unknown 
4, Gordon Gekko , Ryan Howard , turtle , unknown 
5, Winston Churchill ,   Pam   Beesley , dog  , 3/30/2009 
6, Mr. Whiskers  , Jim Halpert, cat , 4/5/2018 
7, Henrietta, Dwight   Shrute, porcupine  , unknown 
8, Sprinkles , Angela Martin  , cat , 7/19/2000 
9, Princess Lady, Angela Martin  , cat , 8/4/2017 
10,  Ember , Angela Martin  , cat , 4/3/2015 
11,   Milky Way , Angela Martin  , cat , 11/15/2012 
12, Diane, Angela Martin , cat   , 9/21/2015 
13, Lumpy  ,  Angela  Martin  , cat , 02/07/2012 
14, Petals , Angela Martin  , cat , 10/31/2010 
15, Mr. Ash , Angela Martin , cat , 6/1/2005 
16, Phillip ,   Angela Martin, cat , 3/20/2009 
17, Bandit , Angela Martin , cat , 2/13/2016 
18, Comstock   , Angela Martin , cat , 10/03/2017 
19, Lily , Stanley Hudson , dog , 8/8/2012 
20, Ruth Bader Ginsberg , Oscar Martinez , dog , 9/1/2016 
21, Neitzsche , Oscar Martinez , dog , 7/31/2015 
22, Buster , Phyllis Vance , dog , 8/15/2010 
23, Sadie , Meredith Palmer , cat , 1/15/2020 
24, Wuphf , Kelly Kapoor   , dog  , 12/3/2018
